Airport_CODE,name_Airport,country_code_Airport,Airport_rwy_len_ft,Airport_rwy_wid_ft,Airport_latitude,Airport_longitude,Airport_elevation_ft,Airport_offset_hours,Airport_type
GMTN,Tetouan,MA,10784,148,35.570175,-5.3742776,10,1,medium_airport
LWOH,Ohrid,MK,8366,140,41.1170203,20.8017387,2313,2,medium_airport
CYHZ,Halifax,CA,10500,200,44.648618,-63.5859487,477,-3,large_airport
EHWO,Woensdrecht Airbase,NL,8015,148,51.4457592,4.3393458,63,2,medium_airport
LFKB,Bastia,FR,8266,148,42.6993979,9.4509187,26,2,medium_airport
EEPU,Parnu,EE,6463,98,58.3835136,24.5081751,47,3,medium_airport
ETNG,Geilenkirchen,DE,10009,147,50.963605,6.1199802,296,2,medium_airport
KDAB,Daytona Beach,US,10500,150,29.2108147,-81.0228331,34,-4,medium_airport
LEPP,Pamplona,ES,7241,148,42.81568595,-1.65223534,1504,2,medium_airport
LEGR,Granada,ES,9514,148,37.18870163,-3.777359962,1860,2,medium_airport
FIMP,Mauritius,MU,11056,148,-20.430201,57.683601,186,4,large_airport
FCPP,Pointe Noire,CG,8530,148,-4.816030025,11.88659954,55,1,medium_airport
KPAE,Seattle Paine Field,US,9010,150,47.90629959,-122.2819977,606,-7,medium_airport
EYKA,Kaunas,LT,10663,148,54.96390152,24.08480072,256,3,medium_airport
UGSB,Batumi,GE,8202,148,41.61029816,41.59970093,105,4,medium_airport
TBPB,Bridgetown,BB,11000,150,13.07460022,-59.49250031,169,-4,medium_airport
UKHH,Kharkiv,UA,7285,165,49.92480087,36.29000092,508,3,medium_airport
UTTT,Tashkent,UZ,13123,197,41.25790024,69.28119659,1417,5,large_airport
RKSI,Seoul Incheon,KR,13123,197,37.46910095,126.4509964,23,9,large_airport
LFTW,Nimes,FR,8005,148,43.75740051,4.416349888,309,2,medium_airport
LIMJ,Genoa,IT,9564,148,44.4133,8.8375,13,2,medium_airport
KGSP,Greer,US,11000,150,34.89569855,-82.21890259,964,-4,medium_airport
LXGB,Gibraltar,GI,6000,150,36.15119934,-5.34965992,15,2,large_airport
LECH,Castellon Costa Azahar,ES,8858,147,40.2097,0.06972,1181,2,medium_airport
DNMM,Lagos,NG,12794,197,6.577370167,3.321160078,135,1,large_airport
EDLV,Weeze,DE,8005,148,51.60240173,6.142169952,106,2,medium_airport
CYUL,Montreal Dorval,CA,11000,200,45.47060013,-73.74079895,118,-4,large_airport
USSS,Yekaterinburg,RU,9925,148,56.74309921,60.80270004,764,5,large_airport
FAOR,Johannesburg OR Tambo,ZA,14495,200,-26.1392,28.246,5558,2,large_airport
